test_line,evaluation_line,cer,wer
بج گئے۔ لیٹا تو بے اختیار خیال مس میلاوتی کی طرف جا پہنچاجو میرے پڑوس میں رہتی تھی اور جس نے میرے ,بج گئے۔ لیٹا تو بے اختیار خیال مس میلاوتی کی طرف جا پہنچاجو میرے پڑوس میں رہتی تھی اور جس نے میرے ,0.0,0.0
ساتھ بی۔ اے کاڈپلوما حاصل کیا تھا۔ خوش قسمت ہو گا وہ شخص جو مس لیلا کو بیا ہے گا۔ کیسی حسین ہے! کیسی خوش,ساتھ بی۔ اے کاڈپلوما حاصل کیا تھا۔ خوش قسمت ہو گا وہ شخص جو مس لیلا کو بیا ہے گا۔ کیسی حسین ہے! کیسی خوش,0.0,0.0
گلو! کیسی خوش مزاج۔ میں کبھی کبھی اس کے یہاں پروفیسر صاحب سے فلسفہ میں مدد لینے کے جایا کرتا تھا۔ وہ دن,گلو! کیسی خوش مزاج۔ میں کبھی کبھی اس کے یہاں پروفیسر صاحب سے فلسفہ میں مدد لینے کے جایا کرتا تھا۔ وہ دن,0.0,0.0
مبارک ہوتا تھاجب پرو فیسر صاحب گھریرنہ ملتے تھے۔ مس لیلا میرے ساتھ بڑے تیاک سے پیش آتی اور مجھے,مبارک ہوتا تھاجب پرو فیسر صاحب گھرپرنہ ملتے تھے۔ مس لیلا میرے ساتھ بڑے تپاک سے پیش آتی اور مجھے,0.020833333333333332,0.1
ایسا معلوم ہوتا تھاکہ میں حضرت مسیح کی پناہ میں آجاؤں تو اسے مجھے اپنی شوہری میں قبول کرنے سے انکارنہ ہوگا۔,ایسا معلوم ہوتا تھاکہ میں حضرت مسیح کی پناہ میں آجاؤں تو اسے مجھے اپنی شوہری میں قبول کرنے سے انکارنہ ہوگا۔,0.0,0.0
وہ شیلی، بائرن اور کیٹ کی عاشق تھی اور میرامذاق بھی بالکل اس کے ہمرنگ تھا۔ ہم جب تنہا ہوتے تواکثر محبت اور,وہ شیلی، بائرن اور کیٹ کی عاشق تھی اور میرامذاق بھی بالکل اس کے ہمرنگ تھا۔ ہم جب تنہا ہوتے تواکثر محبت اور,0.0,0.0
فلسفہ پر بحث کرنے لگتے اور اس کے منہ سے جزبہ آمیز باتیں سن سن کر میرنے دل میں گد گدی پیدا ہونے لگتی,فلسفہ پر بحث کرنے لگتے اور اس کے منہ سے جزبہ آمیز باتیں سن سن کر میرنے دل میں گد گدی پیدا ہونے لگتی,0.0,0.0
تھی۔ مگر افسوس! میں اپنا مالک نہ تھا۔ میری شادی ایک معزز گھرانے میں کردی گئی تھی اور اگرچہ میں ابھی تک,تھی۔ مگر افسوس! میں اپنا مالک نہ تھا۔ میری شادی ایک معزز گھرانے میں کردی گئی تھی اور اگرچہ میں ابھی تک,0.0,0.0
اپنی بیوی کی صورت سے بھی آشنانہ تھا مگر مجھے بجائے شک کے یقین کامل تھاکہ مجھے اس کی صحبت میں وہ لطف,اپنی بیوی کی صورت سے بھی آشنانہ تھا مگر مجھے بجائے شک کے یقین کامل تھاکہ مجھے اس کی صحبت میں وہ لطف,0.0,0.0
نہیں آسکتاجو مس لیلا کی صحبت میں ممکن ہے۔ شادی ہوئے دو سال ہو چکے تھے مگر اس نے میرے پاس ایک خط,نہیں آسکتاجو مس لیلا کی صحبت میں ممکن ہے۔ شادی ہوئے دو سال ہو چکے تھے مگر اس نے میرے پاس ایک خط,0.0,0.0
بھی نہ لکھا تھا۔ میں نے دوتین خط لکھے بھی مگر کسی کا جواب نہ ملا۔ اس سے مجھے یہ شک ہو گیا تھا کہ اس نکی تعلیم بھی,بھی نہ لکھا تھا۔ میں نے دوتین خط لکھے بھی مگر کسی کا جواب نہ ملا۔ اس سے مجھے یہ شک ہو گیا تھا کہ اس نکی تعلیم بھی,0.0,0.0
واجی ہی واجی ہے۔,واجی ہی واجی ہے۔,0.0,0.0
آہ! کیا میں اسی لڑکی کے ساتھ زندگی بسر کرنے پر مجبور ہوں گا؟ اس سوال نے میرے ان تمام ہوائی,آہ! کیا میں اسی لڑکی کے ساتھ زندگی بسر کرنے پر مجبور ہوں گا؟ اس سوال نے میرے ان تمام ہوائی,0.0,0.0
قلعوں کو ڈھادیاجو میں نے ابھی ابھی بنائے تھے۔ کیا میں مس لیلا سے ہمیشہ کے لیے ہاتھ دھولوں؟ نا ممکن ہے، میں,قلعوں کو ڈھادیاجو میں نے ابھی ابھی بنائے تھے۔ کیا میں مس لیلا سے ہمیشہ کے لیے ہاتھ دھولوں؟ نا ممکن ہے، میں,0.0,0.0
کمدنی کو چھوڑدوں گا۔ میں اپنے یگانوں سے ناطہ توڑلوں گلہ میں رسوا ہوں گا، خوار ہوں گا مگر مس لیلا کو ضرور اپنا,کمدنی کو چھوڑدوں گا۔ میں اپنے یگانوں سے ناطہ توڑلوں گلہ میں رسوا ہوں گا، خوار ہوں گا مگر مس لیلا کو ضرور اپنا,0.0,0.0
شریک حال بناؤں گا۔,شریک حال بناؤں گا۔,0.0,0.0
انہیں خیالات سے موثر ہو کر میں نے اپنی ڈائری لکھی اور اسے میزپر کھلا چھوڑ کر بستر پر لیٹ گیا اور,انہیں خیالات سے موثر ہو کر میں نے اپنی ڈائری لکھی اور اسے میزپر کھلا چھوڑ کر بستر پر لیٹ گیا اور,0.0,0.0
سوچتے سوچتے سوگیا۔,سوچتے سوچتے سوگیا۔,0.0,0.0
27,27,0.0,0.0
